location	Adams County WI	#C3BA46
location	New Orleans	#C5B945
location	Panola County	#C7B944
location	Morehouse Parish	#C9B843
location	Tensas Parish	#CBB843
location	Rapides Parish	#CCB742
location	Bossier Parish	#CEB641
location	Grant Parish	#CFB541
location	DeSoto Parish	#D1B440
location	East Feliciana Parish	#D2B240
location	Caddo Parish	#D4B13F
location	Assumption Parish	#D5B03F
location	St Tammany Parish	#D7AF3E
location	Jefferson Parish	#D8AE3E
location	St Bernard Parish	#DAAD3D
location	Webster Parish	#DBAC3D
location	Bienville Parish	#DCAB3C
location	East Baton Rouge Parish	#DDA93C
location	Livingston Parish	#DEA73B
location	Iberville Parish	#DFA53B
location	Pittsburgh	#E0A33A
location	Colorado Springs	#E0A13A
location	Alameda County	#E19F3A
location	Humboldt County	#E29D39
location	San Luis Obispo County	#E39B39
location	Fayette County	#E49938
location	Buchanan County	#E49838
location	Crawford County	#E59637
location	Fillmore County	#E69337
location	Thiensville	#E69136
location	Racine	#E68E36
location	Cudahy	#E68B35
location	Mequon	#E68835
location	Wauwatosa	#E68534
location	Greenfield	#E68334
location	Milwaukee	#E68033
location	Brown Deer	#E67D33
location	Greater Milwaukee Area	#E67A32
location	Slinger	#E67732
location	River Hills	#E67531
location	Bayside	#E67131
location	Vernon County	#E56E30
location	Trempealeau County	#E56A2F
location	Juneau County	#E4672E
location	Saukville	#E4642E
location	Hartford	#E3602D
location	Campbellsport	#E35D2C
location	Jackson	#E2592C
location	Oak Creek	#E2562B
location	Port Washington	#E1522A
location	Grafton	#E14F2A
location	New Berlin	#E04B29
location	Pewaukee	#E04828
location	Franklin	#DF4428
location	Whitefish Bay	#DF4127
location	South Milwaukee	#DE3D27
location	Brookfield	#DE3A26
location	Elm Grove	#DD3625
location	Glendale	#DD3325
location	Columbia County	#DC2F24
location	Multnomah County	#DC2C23
location	Wasco County	#DB2823

country	Panama	#416DCE
country	Costa Rica	#59A3AA
country	Mexico	#84BA6F
country	Jamaica	#BBBC49
country	USA	#E29D39
country	Canada	#E1502A

recency	Older	#416DCE
recency	One month ago	#59A3AA
recency	One week ago	#84BA6F
recency	3-7 days ago	#BBBC49
recency	1-2 days ago	#E29D39
recency	New	#E1502A

region	North America	#4C90C0

